,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
39,100000084398_18,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
40,100000084398_19,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
41,100000084398_20,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
42,100000084398_21,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
43,100000084398_22,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
44,100000084398_23,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
45,100000084398_24,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
46,100000084398_25,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
47,100000084398_26,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
48,100000084398_27,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
49,100000084398_28,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
50,100000084398_29,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
51,100000084398_30,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
52,100000084398_31,100000084398,Самосвал карьерный 730E-8 №15,Самосвал карьерный 730E-8 №15,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
