,Unnamed: 0,maintanance_job_code,eo_code,interval_motohours,"dowtime_plan, hours",maintanance_datetime,maintanance_date,maintanance_name,year,month,month_year
1781,1781,100000084384_HD1500-7_TR,100000084384,660.0,60.0,2025-12-30 08:00:00,2025-12-30,ТР,2025,12,12_2025
1819,1819,100000084384_HD1500-7_LINING_PART,100000084384,2000.0,24.0,2025-12-16 18:30:00,2025-12-16,СВч (частичная футеровка),2025,12,12_2025
3255,3255,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-01 00:00:00,2025-12-01,ЕТО,2025,12,12_2025
3256,3256,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-02 00:00:00,2025-12-02,ЕТО,2025,12,12_2025
3257,3257,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-03 00:00:00,2025-12-03,ЕТО,2025,12,12_2025
3258,3258,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-04 00:00:00,2025-12-04,ЕТО,2025,12,12_2025
3259,3259,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-05 00:00:00,2025-12-05,ЕТО,2025,12,12_2025
3260,3260,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-06 00:00:00,2025-12-06,ЕТО,2025,12,12_2025
3261,3261,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-07 00:00:00,2025-12-07,ЕТО,2025,12,12_2025
3262,3262,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-08 00:00:00,2025-12-08,ЕТО,2025,12,12_2025
3263,3263,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-09 00:00:00,2025-12-09,ЕТО,2025,12,12_2025
3264,3264,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-10 00:00:00,2025-12-10,ЕТО,2025,12,12_2025
3265,3265,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-11 00:00:00,2025-12-11,ЕТО,2025,12,12_2025
3266,3266,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-12 00:00:00,2025-12-12,ЕТО,2025,12,12_2025
3267,3267,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-13 00:00:00,2025-12-13,ЕТО,2025,12,12_2025
3268,3268,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-14 00:00:00,2025-12-14,ЕТО,2025,12,12_2025
3269,3269,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-15 00:00:00,2025-12-15,ЕТО,2025,12,12_2025
3270,3270,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-16 00:00:00,2025-12-16,ЕТО,2025,12,12_2025
3271,3271,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-17 00:00:00,2025-12-17,ЕТО,2025,12,12_2025
3272,3272,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-18 00:00:00,2025-12-18,ЕТО,2025,12,12_2025
3273,3273,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-19 00:00:00,2025-12-19,ЕТО,2025,12,12_2025
3274,3274,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-20 00:00:00,2025-12-20,ЕТО,2025,12,12_2025
3275,3275,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-21 00:00:00,2025-12-21,ЕТО,2025,12,12_2025
3276,3276,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-22 00:00:00,2025-12-22,ЕТО,2025,12,12_2025
3277,3277,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-23 00:00:00,2025-12-23,ЕТО,2025,12,12_2025
3278,3278,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-24 00:00:00,2025-12-24,ЕТО,2025,12,12_2025
3279,3279,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-25 00:00:00,2025-12-25,ЕТО,2025,12,12_2025
3280,3280,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-26 00:00:00,2025-12-26,ЕТО,2025,12,12_2025
3281,3281,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-27 00:00:00,2025-12-27,ЕТО,2025,12,12_2025
3282,3282,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-28 00:00:00,2025-12-28,ЕТО,2025,12,12_2025
3283,3283,100000084385_HD1500-7_EO,100000084385,23.7,0.3,2025-12-29 00:00:00,2025-12-29,ЕТО,2025,12,12_2025
