maintanance_job_code,eo_code,interval_motohours,"dowtime_plan, hours",last_job_in_previous_period_date
HD1500_TO_250,100000071921,250,"4,3",30.12.2022
HD1500_KR_25000,100000071921,25000,40,13.11.2020
