,модель,янв 2023,фев 2023,мар 2023,апр 2023,май 2023,июн 2023,июл 2023,авг 2023,сен 2023,окт 2023,ноя 2023,дек 2023
71,Самосвалы Komatsu HD1500-7,0.89,0.97,0.84,0.89,0.89,0.83,0.89,0.84,0.83,0.89,0.87,0.85
68,Самосвалы Komatsu 730E-10,0.9,0.97,0.66,0.89,0.88,0.64,0.9,0.89,0.63,0.9,0.87,0.64
65,Самосвалы CAT 785C,0.95,0.92,0.94,0.95,0.93,0.9,0.93,0.95,0.93,0.93,0.94,0.91
69,Самосвалы Komatsu 730E-8,0.9,0.97,0.66,0.89,0.88,0.64,0.9,0.89,0.63,0.9,0.87,0.64
