,Дата,Категория работ,"Запланированный простой, час","Межсервисная наработка, час",Наименование ЕО
87,29.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
88,30.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
89,31.03.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
90,01.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
91,02.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
92,03.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
93,04.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
94,05.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
95,06.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
96,07.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
97,08.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
98,09.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
99,10.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
100,11.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
101,12.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
102,13.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
103,14.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
104,15.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
105,16.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
106,17.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
107,18.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
108,19.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
109,20.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
110,21.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
111,22.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
112,23.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
113,24.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
114,25.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
115,26.04.2023,ЕТО,0.33,24,Самосвал карьерный 785C №401
